라카,75,183
카아,44,142
바바,83,142
바카,42,170
바파,51,165
사타,63,177
가다,43,155
가타,62,179
사바,82,185
라사,55,164
바나,42,165
하하,94,156
마바,70,160
자사,85,150
자바,57,150
타라,54,159
타사,83,164
다가,69,154
차사,65,183
자차,67,147
사바,46,164
마사,92,161
차아,62,143
차하,75,176
마라,41,192
바나,44,191
가가,59,175
차다,86,146
아차,77,157
카마,70,158
하마,65,178
가사,67,176
라다,75,140
차마,96,164
하자,53,176
나가,92,175
마바,55,153
사가,80,146
카타,74,165
마타,50,182
바마,66,175
사하,97,192
아타,93,172
파마,54,145
라마,80,189
파파,70,174
사파,54,196
자가,68,153
파하,91,152
마카,76,193
아카,58,170
하나,96,164
가하,99,150
자나,47,198
마타,80,190
라자,76,198
파차,67,192
다바,55,179
파타,70,198
사라,70,162
자차,70,143
다가,82,151
타하,88,166
아나,94,169
타하,42,159
카차,97,149
다차,54,150
카가,68,191
파다,80,165
가파,63,150
라바,74,163
아아,40,156
사나,92,181
차카,71,181
파파,79,148
나타,47,164
다타,50,155
카아,56,152
자바,49,157
가아,44,143
가하,78,160
아아,88,173
다가,91,193
사바,44,185
아하,70,186
하하,71,167
바파,96,167
가자,81,155
아아,87,199
마사,58,195
바바,73,154
사라,51,163
나나,80,140
바하,96,198
파사,41,151
아아,64,157
카라,77,144
바다,73,190
마사,68,168
하사,45,178
가라,94,154
파나,54,177
가하,78,178
바바,91,196
아가,66,183
하파,65,153
마자,88,141
마자,44,189
카바,43,185
다라,43,171
나마,78,175
파자,77,163
라마,73,181
파라,76,165
사나,81,178
아나,97,199
파하,88,149
바나,81,146
마바,70,167
사나,67,187
마아,41,167
마아,71,164
나마,68,196
하아,57,180
마아,90,140
라차,99,192
하마,84,174
아가,75,194
차다,48,173
마나,75,184
나파,53,199
아다,98,195
차카,98,192
파바,87,184
바다,46,140
사가,69,145
사아,66,182
하라,89,158
카차,46,167
하파,95,179
차하,69,185
가마,52,148
하자,43,172
다파,52,140
가바,66,140
하사,79,163
파타,80,153
타타,58,147
다가,44,161
아라,84,141
차라,76,158
다파,55,150
자자,42,153
카라,65,145
가사,68,156
타사,85,169
파마,82,195
하파,86,175
하타,93,191
자타,89,176
나나,64,173
아바,50,142
사라,92,170
하나,88,166
차하,50,143
나라,84,176
파가,90,157
아가,62,151
카나,88,160
타아,65,174
자바,87,154
차라,73,176
바나,63,159
가차,79,168
마라,60,188
타바,60,140
파카,84,163
차가,97,169
라바,51,154
다파,46,195
타아,41,183
파자,44,159
자파,72,178
파나,76,177
나나,47,146
마다,43,175
파카,62,181
다타,42,198
하바,53,177
사자,84,145
가사,65,187
사차,91,181
사라,97,197
다다,85,190
카아,43,194
다라,99,187
나다,63,171
카자,80,188
나나,70,163
카바,94,170
카카,59,194
마가,44,155
사라,76,165
사라,40,176
다마,82,144
나자,43,151
차차,79,151
사자,47,190
가카,95,166
아카,81,140
사나,45,161
자나,71,196
파자,58,199
사하,71,140
라라,69,191
나나,53,185
파마,46,195
라자,71,177
파라,76,172
카마,82,146
마다,88,176
바카,58,186
마바,65,156
아파,57,170
하자,61,161
자사,49,192
파하,83,140
마파,71,181
카타,90,183
다라,45,154
파자,56,160
하아,47,196
가하,99,191
자가,50,169
차다,84,177
하파,46,198
하하,93,161
사카,53,144
가자,97,197
하가,62,189
나파,69,143
자타,46,197
카사,42,175
하카,51,150
하파,46,164
카가,89,178
파나,66,195
나자,81,143
차타,65,187
타타,51,151
라아,59,180
라자,44,153
마바,61,195
사타,62,165
하아,70,186
바다,46,199
하사,78,185
파사,75,160
카바,71,159
다나,61,152
사마,72,144
마가,94,178
하카,64,151
마다,94,159
바라,85,166
사사,63,187
사하,46,153
사차,78,176
라사,58,159
나바,51,191
자카,89,170
파파,62,147
다자,71,181
바자,99,185
다차,64,153
가다,79,187
가타,86,185
가차,72,176
사아,79,165
카타,44,175
가타,74,182
하사,89,158
나라,95,158
라가,78,171
마차,68,148
아다,94,147
차사,52,166
사아,81,193
파라,84,181
차차,45,158
타다,65,153
차다,71,184
자파,95,142
타파,66,176
나아,78,193
가파,84,143
카나,85,170
라다,40,196
하마,53,189
사다,94,147
자하,76,179
카라,74,194
나라,72,182
사마,40,166
나파,52,155
차바,41,171
파바,72,176
차아,44,148
마사,66,155
나파,55,164
나나,65,192
차다,62,153
하파,60,150
차라,42,186
라라,58,195
하하,76,142
마하,85,187
아타,49,160
타나,86,148
파차,90,164
마파,93,147
카차,76,163
자카,54,195
바타,92,146
파나,62,145
카자,52,179
차마,89,154
차바,73,150
나자,75,142
파파,94,173
하차,60,157
카사,99,147
타바,83,168
아하,51,176
차사,75,195
자자,68,187
사차,54,153
나자,78,142
아파,82,143
차카,46,166
자파,57,166
바가,50,196
라라,73,145
가차,81,171
파카,58,146
자라,87,141
타차,93,161
나차,64,185
차나,95,161
파다,44,146
차아,79,147
다파,53,141
바나,67,188
라나,97,146
마카,65,146
카카,86,143
하카,72,173
자파,61,184
다가,53,193
바차,68,154
마하,91,151
사바,54,184
카라,96,188
타사,76,178
차파,51,167
마차,60,176
차다,60,141
아아,53,140
하하,95,161
사타,86,194
라자,79,184
라차,81,167
다다,86,192
하라,42,193
타타,70,157
나차,98,177
카카,65,157
하가,49,177
사차,42,170
라타,48,171
차파,45,160
파나,43,181
파마,91,149
나바,68,168
아다,47,175
자나,57,175
마나,63,143
아타,92,186
하하,89,153
자아,85,194
파마,97,163
마사,92,154
하마,97,158
하바,66,177
카아,69,153
타타,46,151
카아,83,154
하아,54,182
나파,70,159
자사,65,192
자타,90,196
차타,71,158
파사,94,173
가타,61,176
가타,81,176
바사,52,177
타아,73,164
마사,63,151
차자,81,148
라사,65,151
가타,64,192
하자,88,199
타자,94,183
카다,54,159
타아,82,167
카나,94,142
바카,70,155
마하,71,159
차자,50,188
자가,45,188
마차,76,156
나자,80,184
가마,47,194
파하,86,166
파차,90,191
자라,42,142
아나,41,150
카하,84,163
바카,49,170
아타,82,197
마나,42,170
다카,41,142
파사,86,141
라바,90,157
아카,47,198
자하,42,174
가카,97,144
다차,70,147
카사,45,142
바가,67,156
가파,62,181
하가,87,193
나타,43,140
차마,86,198
마나,75,146
파카,64,145
아마,95,195
라파,40,176
파라,40,145
사아,48,155
하사,98,188
하차,47,192
가라,81,173
카라,96,186
하차,59,141
마타,95,191
사가,82,186
나자,69,194
바다,98,193
바자,56,182
파자,87,191
다다,42,154
파차,90,194
파바,76,190
아라,65,170
타타,84,166
자하,46,175
바마,45,167
아나,64,189
파차,52,165
카카,59,168
마나,55,186
하다,88,184
아다,89,182
타자,84,156
타차,46,178
가자,80,179
바파,61,196
마타,62,185
사나,95,178
파타,75,175
아아,93,164
자나,80,167
다자,89,144
자타,92,165
파라,60,191
파타,68,142
나아,83,166
가차,67,188
나다,59,198
카마,61,172
파라,98,164
사타,62,151
차아,92,152
가카,92,140
파카,43,169
가하,67,159
타사,93,199
아자,99,140
타라,66,165
가라,69,163
가가,80,154
가타,97,188
사하,78,142
가타,46,169
차나,52,176
자마,86,153
다아,61,170
나나,72,191
나차,51,142
하마,88,175
카가,91,154
가타,90,149
아하,46,160
카가,75,161
마마,88,163
가나,52,163
아카,91,147
나파,55,172
나사,74,141
차카,60,167
카다,97,146
바마,42,157
라바,92,180
마차,99,157
파자,65,193
바파,45,146
아타,46,199
아바,70,176
아사,85,147
마카,53,158
자가,47,171
다파,43,195
마마,80,164
아하,68,148
가아,98,152
사가,58,179
카아,45,169
하마,57,194
카가,78,197
나타,92,147
자차,96,142
마마,65,164
차나,69,193
카마,47,155
파자,79,145
자라,49,157
사차,78,142
라마,77,156
차차,40,144
바가,67,184
바사,40,162
바자,72,188
아타,61,168
다차,67,177
파나,99,195
파가,84,168
라바,80,164
자라,60,154
카하,93,149
차사,93,172
파마,80,162
하하,86,169
라차,53,150
나차,51,166
다사,73,190
나하,82,150
차아,48,155
차라,69,161
바자,78,150
라나,42,186
아파,92,190
타라,99,172
자바,78,180
라자,40,140
사다,80,154
아하,40,151
카사,69,146
마자,62,178
나사,69,183
나카,65,179
사차,61,186
바가,78,141
라가,77,154
파마,67,141
타다,81,165
라아,74,197
카라,71,159
차마,55,165
라마,41,196
마하,76,141
차사,63,166
카라,72,192
자하,95,182
마사,48,180
사가,62,177
가나,94,180
다라,78,158
자마,47,182
사하,61,171
마하,43,156
자사,73,154
가마,75,175
아가,45,141
타자,76,183
마바,71,172
파타,99,169
사가,82,165
마카,89,184
차타,74,144
자카,99,141
아마,50,171
가다,74,143
나라,52,175
파마,74,163
다마,50,144
마바,85,183
파나,64,186
차아,56,150
마자,69,178
라다,83,146
사차,60,198
타사,49,157
아바,90,190
자나,45,141
파파,73,157
자나,61,187
가사,84,149
카파,98,171
하바,56,165
다다,69,155
카라,93,156
자가,57,196
마카,44,182
라차,90,153
라타,73,144
타파,64,193
다나,73,177
마가,90,194
가가,61,146
카아,96,189
아카,47,164
라마,86,181
가라,67,180
아마,41,161
라사,46,176
마마,58,166
아타,95,183
타차,99,146
바마,59,181
라마,67,149
마카,89,178
타아,95,171
다하,58,175
차바,50,160
가카,78,164
하다,72,174
하라,92,182
가가,90,178
자바,58,163
아사,59,161
나사,93,196
차마,51,182
타차,45,180
다마,91,158
타나,54,142
바자,43,167
카파,40,146
라바,98,196
자자,66,190
카가,45,158
사카,81,161
마나,81,161
아타,40,158
라라,99,149
타카,85,178
나파,83,158
바바,78,159
가자,81,168
카가,59,184
마자,50,176
아바,64,173
카라,75,188
카마,68,184
다타,54,168
파라,83,176
사다,75,194
카다,87,153
파마,50,157
아아,52,187
라바,69,189
아타,87,185
자나,71,167
파아,99,197
파다,59,199
바아,89,184
자하,44,185
파사,68,141
차타,71,172
파나,80,181
바라,55,146
아타,72,159
바라,83,148
사라,67,177
타하,52,179
자아,71,157
가아,53,185
사하,86,152
마가,70,188
차파,92,191
카차,91,174
자나,66,155
타파,81,191
아자,75,168
카타,85,151
하사,52,191
나가,87,149
타라,53,179
마나,41,194
마타,91,197
타나,66,163
다카,83,177
마가,70,175
가자,50,194
바나,95,174
가카,41,198
바마,83,174
사자,55,170
바자,78,159
라라,60,188
가카,52,179
사아,58,163
자타,94,163
다아,55,152
차마,57,159
다바,40,192
자라,49,171
라카,43,152
카마,46,144
가아,68,154
사라,53,161
가차,68,154
가하,79,192
라하,91,199
타자,71,161
라타,99,182
하다,89,182
파사,64,181
마다,72,194
타카,84,179
아아,45,182
가자,93,172
라바,60,141
마차,71,172
타나,93,186
마하,92,193
자마,51,140
다하,77,178
마가,47,149
가라,85,153
타바,62,155
바다,58,140
가하,92,198
하라,43,140
타아,56,169
자마,42,140
하나,63,160
타파,94,165
아다,47,169
라아,94,185
자자,83,152
사차,92,175
하라,91,176
카사,71,163
바아,75,190
나차,78,163
타파,62,172
라하,47,143
카라,70,163
라하,80,157
가자,86,173
마파,70,182
라나,90,150
마사,63,185
파가,61,199
하하,91,186
마바,84,189
바하,66,174
자사,43,164
사타,54,151
차바,75,179
아라,92,195
